<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SET100,20150427,09:56:00,2292.62,2292.62,2292.62,2292.62,46942000
SET100,20150427,09:57:00,2294.23,2294.23,2292.34,2292.37,6295000
SET100,20150427,09:58:00,2291.91,2291.92,2291.18,2291.18,11858000
SET100,20150427,09:59:00,2290.85,2291.89,2290.85,2291.89,10711000
SET100,20150427,10:00:00,2292.23,2292.23,2291.26,2291.72,7275000
SET100,20150427,10:01:00,2292.15,2292.15,2290.92,2290.92,4258000
SET100,20150427,10:02:00,2290.53,2290.53,2289.44,2289.44,6157000
SET100,20150427,10:03:00,2287.48,2289.53,2287.48,2289.53,17939000
SET100,20150427,10:04:00,2288.06,2288.06,2286.69,2286.69,2704000
SET100,20150427,10:05:00,2287.67,2287.67,2286.67,2286.67,2763000
SET100,20150427,10:06:00,2285.94,2286.31,2285.49,2285.74,13633000
SET100,20150427,10:07:00,2286.10,2286.30,2285.63,2285.91,4280000
SET100,20150427,10:08:00,2285.49,2285.49,2284.12,2284.12,8382000
SET100,20150427,10:09:00,2283.51,2283.66,2283.47,2283.66,6911000
SET100,20150427,10:10:00,2283.06,2283.23,2282.68,2283.12,13598000
SET100,20150427,10:11:00,2282.60,2283.25,2282.60,2283.25,3250000
SET100,20150427,10:12:00,2283.00,2283.21,2282.13,2282.53,3475000
SET100,20150427,10:13:00,2283.54,2284.60,2283.11,2284.60,1420000
SET100,20150427,10:14:00,2285.28,2285.57,2284.92,2284.92,1391000
SET100,20150427,10:15:00,2284.81,2285.50,2284.81,2285.50,4604000
SET100,20150427,10:16:00,2286.22,2287.56,2285.34,2287.56,45217000
SET100,20150427,10:17:00,2287.23,2288.19,2287.18,2287.89,12237000
SET100,20150427,10:18:00,2288.63,2288.63,2287.39,2287.54,12430000
SET100,20150427,10:19:00,2287.93,2289.16,2287.93,2289.16,6048000
SET100,20150427,10:20:00,2289.36,2289.36,2288.45,2288.45,3253000
SET100,20150427,10:21:00,2289.01,2289.19,2288.78,2288.78,21623000
SET100,20150427,10:22:00,2288.64,2288.86,2288.52,2288.52,10100000
SET100,20150427,10:23:00,2288.22,2288.27,2287.46,2288.27,13735000
SET100,20150427,10:24:00,2289.06,2289.06,2287.95,2287.95,5974000
SET100,20150427,10:25:00,2288.60,2288.86,2287.51,2287.51,6580000
SET100,20150427,10:26:00,2287.56,2289.00,2287.56,2289.00,2871000
SET100,20150427,10:27:00,2288.01,2288.04,2287.82,2287.82,1772000
SET100,20150427,10:28:00,2288.07,2289.20,2288.07,2288.97,1044000
SET100,20150427,10:29:00,2289.57,2289.57,2287.39,2288.72,3036000
SET100,20150427,10:30:00,2288.71,2288.89,2288.59,2288.59,7376000
SET100,20150427,10:31:00,2288.96,2290.27,2288.96,2290.27,6148000
SET100,20150427,10:32:00,2289.56,2290.03,2288.39,2290.03,4055000
SET100,20150427,10:33:00,2288.81,2290.12,2288.81,2290.12,8342000
SET100,20150427,10:34:00,2290.16,2290.94,2289.40,2290.57,6113000
SET100,20150427,10:35:00,2289.89,2290.50,2288.98,2289.14,5304000
SET100,20150427,10:36:00,2290.18,2290.18,2288.91,2288.91,2913000
